,시도,시군구,읍면동,cluster
0,서울특별시,금천구,가산동,0
1,서울특별시,성북구,길음1동,1
2,서울특별시,강동구,길동,2
3,서울특별시,종로구,종로1.2.3.4가동,3
4,서울특별시,강서구,가양1동,4
5,서울특별시,강남구,역삼1동,5
