,name,subway,시도,시군구,읍면동,coord,sub_count,sub_list,bus_count,bus_list
1731,대우아파트104동,0,서울특별시,도봉구,창2동,"(127.0383497879, 37.643255677)",0,[],6,"[(127.0367531727, 37.6426375749), (127.0383497879, 37.643255677), (127.0367096829, 37.6426203363), (127.0404720248, 37.6431233436), (127.04090857215, 37.64156204115), (127.0403711076, 37.6441969127)]"
1732,대우아파트관리실,0,서울특별시,성동구,금호4가동,"(127.0201193593, 37.5459431867)",0,[],9,"[(127.0193437916, 37.5483616496), (127.01907882695, 37.54668462375), (127.0196494758, 37.546982499), (127.0201193593, 37.5459431867), (127.019062569, 37.5460282518), (127.0216620179, 37.5469411322), (127.0210259535, 37.5481160142), (127.0195890845, 37.5485882885), (127.0210214, 37.5481489)]"
1733,대우아파트입구,0,서울특별시,성동구,금호4가동,"(127.019062569, 37.5460282518)",1,"[(127.0165947, 37.5457828)]",12,"[(127.0193437916, 37.5483616496), (127.01907882695, 37.54668462375), (127.0196494758, 37.546982499), (127.0201193593, 37.5459431867), (127.019062569, 37.5460282518), (127.0216620179, 37.5469411322), (127.0167559317, 37.5449301158), (127.0159082191, 37.5451558822), (127.0210259535, 37.5481160142), (127.0195890845, 37.5485882885), (127.0196460688, 37.5486248425), (127.0210214, 37.5481489)]"
1734,대우아파트후문,0,서울특별시,성동구,금호4가동,"(127.0216620179, 37.5469411322)",0,[],11,"[(127.0193437916, 37.5483616496), (127.02200727936668, 37.54828306300001), (127.01907882695, 37.54668462375), (127.0196494758, 37.546982499), (127.0201193593, 37.5459431867), (127.019062569, 37.5460282518), (127.0216620179, 37.5469411322), (127.0210259535, 37.5481160142), (127.0195890845, 37.5485882885), (127.0196460688, 37.5486248425), (127.0210214, 37.5481489)]"
1735,대우자동차정비소,0,서울특별시,구로구,구로2동,"(126.8819692099, 37.4915838249)",0,[],8,"[(126.8802798538, 37.4902220257), (126.884308043, 37.4932364146), (126.88310238845, 37.493812830950006), (126.88124113, 37.4901446255), (126.8841667318, 37.49007771585), (126.8835387836, 37.4923631107), (126.8826774679, 37.49049836605), (126.8819692099, 37.4915838249)]"
1736,대우효령아파트,0,서울특별시,서초구,방배2동,"(126.99354659795, 37.480196649675)",0,[],8,"[(126.9922050913, 37.4798278985), (126.99354659795, 37.480196649675), (126.9942359549, 37.4803467166), (126.996647681, 37.4811283015), (126.9965518002, 37.4810971171), (126.9909636617, 37.47927524), (126.9927600525, 37.481387702700005), (126.9966259492, 37.4812672268)]"
1737,대원고교앞,0,서울특별시,광진구,중곡4동,"(127.0868501929, 37.5640838092)",0,[],5,"[(127.0872203477, 37.5614468159), (127.0868501929, 37.5640838092), (127.0869261478, 37.56362006165), (127.086685053, 37.565408733), (127.0871307282, 37.5623781396)]"
1738,대원그린아파트.도봉실버센터,0,서울특별시,도봉구,방학3동,"(127.0275539499, 37.6625683853)",0,[],10,"[(127.0275539499, 37.6625683853), (127.0302629774, 37.6628934249), (127.0276363733, 37.66110484325), (127.0281772117, 37.6636879118), (127.03038966233332, 37.6614354003), (127.0284030159, 37.6618094737), (127.0276766477, 37.6610623106), (127.0277549961, 37.6601945508), (127.0275844583, 37.6612582603), (127.0277952256, 37.6634010359)]"
1739,대원시장,0,서울특별시,강서구,화곡3동,"(126.83775363095, 37.54428179305)",0,[],2,"[(126.83775363095, 37.54428179305), (126.839602742, 37.5425496489)]"
1740,대원외고앞,0,서울특별시,광진구,중곡4동,"(127.0869261478, 37.56362006165)",0,[],5,"[(127.0872203477, 37.5614468159), (127.0868501929, 37.5640838092), (127.0869261478, 37.56362006165), (127.086685053, 37.565408733), (127.0871307282, 37.5623781396)]"
1741,대원주유소,0,서울특별시,구로구,개봉3동,"(126.8563460396, 37.4871455477)",0,[],7,"[(126.85401120865, 37.486227533000005), (126.8561332532, 37.4860354012), (126.855750721, 37.48633842715), (126.85682395505, 37.4881137258), (126.8563460396, 37.4871455477), (126.8545681828, 37.4851356181), (126.8593536976, 37.4881289388)]"
1742,대원카센터,0,서울특별시,구로구,개봉3동,"(126.8545681828, 37.4851356181)",0,[],7,"[(126.85401120865, 37.486227533000005), (126.8561332532, 37.4860354012), (126.855750721, 37.48633842715), (126.8520759991, 37.4861008469), (126.8563460396, 37.4871455477), (126.8545681828, 37.4851356181), (126.853899434, 37.4838150271)]"
1743,대윤병원,0,서울특별시,영등포구,영등포본동,"(126.9180815875, 37.5146160765)",0,[],3,"[(126.9180815875, 37.5146160765), (126.91980591715, 37.5139411556), (126.916779193, 37.5167982722)]"
1744,대일고교.임광아파트.배광교회,0,서울특별시,강서구,등촌2동,"(126.8636965471, 37.5397841398)",0,[],6,"[(126.8636965471, 37.5397841398), (126.8631180613, 37.5419954614), (126.8630984034, 37.5422675791), (126.8637601339, 37.5390095791), (126.8634842455, 37.5373158738), (126.863383, 37.537364)]"
1745,대일관광고.푸른마을3단지,0,서울특별시,양천구,신정3동,"(126.8362791188, 37.5112745899)",0,[],5,"[(126.83869768465, 37.51103587845), (126.8362791188, 37.5112745899), (126.8333728938, 37.5112155241), (126.83530518395, 37.5128528579), (126.83654199, 37.5121753285)]"
