역명,승차총승객수,x,y
삼각지,4363495.0,37.5344051,126.9733522
삼성,21833212.0,37.5074089,127.0580262
삼성중앙,2087394.0,37.5116348,127.0484981
삼전,1951497.0,37.5047602,127.0877456
상계,7664879.0,37.6610573,127.0736304
상도,4379924.0,37.5035164,126.9472869
상봉,8718007.0,37.5967657,127.0860297
상수,3903028.0,37.547932,126.9227467
상왕십리,5297196.0,37.5639729,127.0298084
상월곡,2433448.0,37.6070859,127.0498308
상일동,4811817.0,37.5546735,127.1569719
새절,5097692.0,37.5911594,126.9132854
샛강,1855130.0,37.5171397,126.9301294
서강대,845358.0,37.5522603,126.9353225
서대문,6571773.0,37.5661705,126.9668868
서빙고,770045.0,37.5199438,126.9900421
서울대입구,19441212.0,37.4812428,126.9516165
서울숲,3186406.0,37.54402650000001,127.0448771
서울역,34924701.0,37.5559588,126.9715835
서초,8559467.0,37.49279720000001,127.0105772
석계,8522695.0,37.6153482,127.0664181
석촌,5326898.0,37.5066365,127.1056227
석촌고분,1737914.0,37.5020847,127.0966654
선릉,23623974.0,37.5074089,127.0580262
선유도,2477211.0,37.5385219,126.8938722
선정릉,5788099.0,37.510537,127.0445954
성수,10470141.0,37.5446813,127.0569827
성신여대입구,10328697.0,37.5930982,127.016781
송정,3236311.0,37.5614789,126.810506
송파,3366538.0,37.49987309999999,127.1121032
송파나루,1367563.0,37.5104692,127.1127199
수락산,5024402.0,37.67745439999999,127.0553493
수색,822657.0,37.5805684,126.8958386
수서,12159171.0,37.4882573,127.1005798
수유,13953107.0,37.6402884,127.0242053
숙대입구,5979974.0,37.5454821,126.9723012
숭실대입구,5621142.0,37.4958252,126.9540533
시청,18818516.0,37.5635692,126.9755275
신금호,2400316.0,37.554664,127.0197918
신길,4848187.0,37.5177129,126.9145095
신내,301804.0,37.6127015,127.1038214
신논현,12107852.0,37.5066617,127.0320047
신답,585215.0,37.5706952,127.0454382
신당,8754202.0,37.5658539,127.0195102
신대방,10551197.0,37.487549,126.9129603
신대방삼거리,6226386.0,37.499653,126.9277067
신도림,22996793.0,37.5087378,126.891109
신림,25680854.0,37.4843296,126.9289318
신목동,1461534.0,37.5446128,126.8828398
신반포,1155179.0,37.5037289,126.9968525
신방화,2595959.0,37.5673515,126.8163825
신사,12027225.0,37.5196719,127.0187517
신설동,8160547.0,37.5764583,127.0259609
신용산,5999324.0,37.5379493,126.9697337
신이문,3414524.0,37.6051923,127.0691225
신정,4938000.0,37.5254082,126.8572798
신정네거리,3651603.0,37.5196396,126.8527837
신촌,17620304.0,37.5552883,126.9355889
신풍,4302875.0,37.5003095,126.9094012
쌍문,11940513.0,37.64875809999999,127.0351961
아차산,5580221.0,37.554252,127.0863486
아현,3972473.0,37.5571002,126.9558046
안국,9132162.0,37.5769513,126.9845219
안암,5053694.0,37.6056991,127.0175664
암사,6852966.0,37.5511669,127.128209
압구정,12242984.0,37.526824,127.0281949
압구정로데오,5992509.0,37.5294392,127.0412602
애오개,2643867.0,37.5483825,126.9518313
