,name,subway,시도,시군구,읍면동,coord,sub_count,sub_list,bus_count,bus_list,cluster
0,신논현,1,서울특별시,강남구,역삼1동,"(127.0320047, 37.5066617)",2,"[(127.0320047, 37.5066617), (127.0342544, 37.507503)]",7,"[(127.0313749396, 37.5065447032), (127.0319302192, 37.5066292509), (127.0334294716, 37.5079729158), (127.033376, 37.50844), (127.0347230624, 37.5076152188), (127.0348192295, 37.5074858219), (127.0345300654, 37.50580427645)]",5.0
1,마곡엠밸리7단지,0,서울특별시,강서구,가양1동,"(126.8239051435, 37.5670587428)",1,"[(126.8263231, 37.5668379)]",7,"[(126.8226090022, 37.56881995365), (126.82681210115, 37.566597287625), (126.8261995611, 37.5669855824), (126.8219241388, 37.5671764952), (126.8239051435, 37.5670587428), (126.8265611, 37.5669356), (126.823635, 37.567188)]",4.0
2,청계5가.광장시장,0,서울특별시,종로구,종로1.2.3.4가동,"(126.9998214525, 37.5693781242)",1,"[(127.0019512, 37.571031)]",13,"[(126.9978384311, 37.5695021129), (127.0022525478, 37.5679533421), (127.0020488136, 37.5678111328), (126.9992630956, 37.566755096), (127.0020674817, 37.5705560731), (127.0019716625, 37.5714220587), (126.999086592, 37.57081167375), (127.0000158599, 37.5707777845), (126.9971440802, 37.5686776061), (126.9964924987, 37.5688576315), (126.9998214525, 37.5693781242), (127.0006385759, 37.5692504249), (127.0028494203, 37.5697520006)]",3.0
3,길동,1,서울특별시,강동구,길동,"(127.1405618, 37.5408397)",3,"[(127.1405618, 37.5408397), (127.1405618, 37.5408397), (127.1405618, 37.5408397)]",3,"[(127.1399158618, 37.5410616209), (127.14196647655, 37.5432369048), (127.140731188, 37.53997158995)]",2.0
4,길음뉴타운,0,서울특별시,성북구,길음1동,"(127.0239311972, 37.603400228400005)",1,"[(127.023776, 37.6027723)]",11,"[(127.0239311972, 37.603400228400005), (127.02334103315, 37.60307501225), (127.022710192, 37.6032989787), (127.02243630175, 37.6049582076), (127.02511265228, 37.603652005460006), (127.0244099453, 37.6021161286), (127.02430658535, 37.60412762945), (127.0266013134, 37.60417396895), (127.0244725057, 37.6020310968), (127.0222388759, 37.6055425728), (127.0271372049, 37.6040364347)]",1.0
5,가산디지털단지역1호선,0,서울특별시,금천구,가산동,"(126.8811766446, 37.4813580466)",1,"[(126.8822401, 37.4824123)]",13,"[(126.88208722, 37.4795062665), (126.8798394629, 37.4835628112), (126.88301698406364, 37.48098682711818), (126.8811766446, 37.4813580466), (126.8814482716, 37.480922786), (126.8841012578, 37.4807934165), (126.8799395888, 37.4795455423), (126.8789367052, 37.48328080005), (126.8799035248, 37.4796160534), (126.87797612265, 37.4822597218), (126.8801947943, 37.4833441903), (126.883995, 37.480651), (126.883995, 37.480651)]",0.0
